geneID,symbol,entity,0,5,10,15
gene-PA4635a,gene-PA4635a,host,1,0.2429249553860925,0.0369236667476232,0.0411865252382226
gene-PA0853,gene-PA0853,host,1,0.4570022726604832,0.1836333886330031,0.0773552179521013
gene-PA2691,gene-PA2691,host,1,0.3355615852678871,0.105488966069549,0.0539887451678949
gene-PA4985,gene-PA4985,host,1,0.5177361262402104,0.1964875511008048,0.0913480454025613
gene-PA1844,gene-PA1844,host,1,0.6144203122509981,0.3006211706097594,0.2947223712612096
gene-PA3256,gene-PA3256,host,1,0.4077514705520618,0.0594796752904299,0.0290506249553961
gene-PA2481,gene-PA2481,host,0.957795142719177,1,0.1039239916171608,0.0488759713596515
gene-PA0451a,gene-PA0451a,host,1,0.4034645696146805,0.0600738294947775,0.0595012716914617
gene-PA1889,gene-PA1889,host,1,0.5160753620455507,0.165704830662465,0.1030070092147124
gene-PA2033,gene-PA2033,host,1,0.1467759257505799,0.0105877138404779,0.0056737652278071
gene-PA0855,gene-PA0855,host,1,0.3555047937514649,0.0990555077200919,0.0726564170047474
gene-PA2549,gene-PA2549,host,1,0.5250130017244606,0.0582486015154909,0.0228532424052413
gene-PA2019,gene-PA2019,host,1,0.7543750970679903,0.1445212661950925,0.0349337783783066
gene-PA1962,azoR2,host,1,0.5548920390936899,0.2269298479992818,0.2132420217191169
gene-PA3047,gene-PA3047,host,1,0.4543586069072843,0.0711018763114988,0.0335076398658648
gene-PA5193,yrfI,host,1,0.6403639402925401,0.1213584506430508,0.0741476854825392
gene-PA5268,corA,host,1,0.3315317642136707,0.0587548907751929,0.0184962523283821
gene-PA3719,armR,host,0.9905259552420436,1,0.3811246490282046,0.086850082839643
gene-PA1806,fabI,host,0.9268943528418488,1,0.1741103526377937,0.0595658888374918
gene-PA0799,gene-PA0799,host,1,0.9469736381046318,0.1191261216627298,0.0599260770556544
gene-PA3672,gene-PA3672,host,1,0.1741329693138127,0.0471212575796386,0.0231177558025678
gene-PA1643a,gene-PA1643a,host,1,0.7087547895287861,0.1613840389382924,0.0631728540224458
gene-PA2888,atuC,host,1,0.4860041671104584,0.070656115302698,0.0879844345358424
gene-PA0169,gene-PA0169,host,1,0.5956740782635435,0.0426053036701833,0.0200547281981947
gene-PA1869,gene-PA1869,host,1,0.7194845985601557,0.2767819480882845,0.1291259295229399
gene-PA4831,gene-PA4831,host,1,0.3926810364342996,0.0751392444163932,0.0663541557907149
gene-PA2931,cifR,host,1,0.3321016299792761,0.0917663492320244,0.0918825327227644
gene-PA3194,edd,host,1,0.6652619137846193,0.0346661477467663,0.0167474616616254
gene-PA1244,gene-PA1244,host,1,0.712186522666131,0.1954152900498579,0.0612343050686098
gene-PA2163,gene-PA2163,host,1,0.3898953448283215,0.1247221349051335,0.0786898203250573
gene-PA1424a,gene-PA1424a,host,1,0.5027758964502445,0.1320654858440542,0.0439608421285232
gene-PA2848,gene-PA2848,host,0.6917730286516184,1,0.7095168533016635,0.3434737625288862
gene-PA0060,gene-PA0060,host,1,0.4478336920593487,0.1659578176847743,0.1267561621924658
gene-PA3376,gene-PA3376,host,1,0.2664538610946099,0.1454843758470463,0.0629288105611904
gene-PA0479,gene-PA0479,host,1,0.4588789893844668,0.090194824325362,0.0419320250132399
gene-PA1021,gene-PA1021,host,1,0.4006071679836341,0.1266642253404143,0.0441910245500985
gene-PA3626,gene-PA3626,host,1,0.4875864732154434,0.0978639276795296,0.0501675471532226
gene-PA5252,gene-PA5252,host,1,0.7491494391081694,0.126307886643797,0.0559225450934515
gene-PA2159,gene-PA2159,host,1,0.9118097133791015,0.2527221927526256,0.1550269930501534
gene-PA4170,gene-PA4170,host,1,0.5033420438652241,0.0109457848045146,0.0273754836726259
gene-PA3161,himD,host,1,0.4246871347385594,0.0697926818971529,0.0313000930614173
gene-PA4127,hpcG,host,0.7289623991463167,1,0.1706655678842326,0.0777103833771668
gene-PA4536,gene-PA4536,host,1,0.3256528154302625,0.0785212957355296,0.0237954284837098
gene-PA0027,gene-PA0027,host,1,0.462021677285175,0.0413216723245994,0.0259969272548833
gene-PA3956,gene-PA3956,host,1,0.3860173708713775,0.0558592222900727,0.0124616403043756
gene-PA4871,gene-PA4871,host,1,0.3779352594752283,0.0653877350485934,0.0379313201029377
gene-PA2114,gene-PA2114,host,0.7720851888449554,1,0.1216486121176965,0.0505065402995281
gene-PA4898,opdK,host,0.7322546404833561,1,0.0763476755408886,0.0430612276675994
gene-PA0066,gene-PA0066,host,1,0.3051171092629737,0.1436438627596296,0.0662716418321671
gene-PA4994,gene-PA4994,host,1,0.5159052409539356,0.0993886974356934,0.0323409476899197
gene-PA1065,gene-PA1065,host,1,0.5721270828530425,0.091739992005048,0.0343365793884959
gene-PA3397,fpr,host,1,0.8906724389686795,0.1501953246279586,0.0737349256658606
gene-PA4053,ribE,host,0.6613087929028028,1,0.3356412563438786,0.1747481852090894
gene-PA3791,gene-PA3791,host,1,0.5009482529986455,0.1228853799524274,0.0738441556654386
gene-PA2804,gene-PA2804,host,1,0.7023559259900813,0.1774606553353335,0.2524183821008465
gene-PA1399,gene-PA1399,host,1,0.4357818356076315,0.1202973798395319,0.0934381836615266
gene-PA2108,gene-PA2108,host,1,0.976724166172646,0.2039537988060079,0.0778342875254196
gene-PA2963,gene-PA2963,host,0.7092789105846542,1,0.1158052004768567,0.0451282328819102
gene-PA0865,hpd,host,1,0.5616278926726236,0.0367400748409863,0.0118118016190721
gene-PA3242,gene-PA3242,host,0.7537607385199486,1,0.2033954088280848,0.0997711066894893
gene-PA0119,gene-PA0119,host,1,0.2541271497586994,0.1088711228763076,0.0402473312759598
gene-PA2226,gene-PA2226,host,1,0.7311518532474899,0.0835443032741667,0.0539179823292053
gene-PA2214,gene-PA2214,host,1,0.7367322307909052,0.3243382920653115,0.0981949945566173
gene-PA0241,gene-PA0241,host,1,0.2029711794427842,0.1142398659290216,0.1354437122584719
gene-PA3367,gene-PA3367,host,1,0.9274217659890408,0.245492813202728,0.0809492615826849
gene-PA2365,gene-PA2365,host,1,0.4060408799952781,0.060711310484658,0.062345041628803
gene-PA4276.1,gene-PA4276.1,host,0.9267058243014206,1,0.3877481367610216,0.2191795135947562
gene-PA0646,gene-PA0646,host,1,0.6179528197927473,0.3194499529136176,0.1319101448865163
gene-PA0866,aroP2,host,0.5700040682718757,1,0.0470686262023276,0.014134507914784
gene-PA4488,gene-PA4488,host,1,0.7360700763781255,0.1257138626587629,0.0658270931126085
gene-PA0021,gene-PA0021,host,1,0.4706442161323988,0.0343279205335569,0.0960319590097731
gene-PA1873,gene-PA1873,host,1,0.4456090556761513,0.2211637935546429,0.0534598620172193
gene-PA3765,gene-PA3765,host,1,0.3347664554824021,0.1249947655117287,0.0861856164307553
gene-PA5467,gene-PA5467,host,1,0.4178504713750199,0.1788873557603678,0.2123254563029158
gene-PA2027,gene-PA2027,host,1,0.8930060676914058,0.1182651709019288,0.0511552288164515
gene-PA3847,gene-PA3847,host,1,0.6336607390184886,0.1210806155289771,0.0416107677131179
gene-PA1083,flgH,host,1,0.9326376991407708,0.1197666168038879,0.0664119100816256
gene-PA2932,morB,host,1,0.2587311699428855,0.187815918846688,0.063558587609326
gene-PA5335,gene-PA5335,host,1,0.838414228018303,0.2217460729160376,0.0720249850563683
gene-PA4229,pchC,host,0.6458698457247736,1,0.047159089069478,0.0268783860251197
gene-PA4452,gene-PA4452,host,1,0.4794829606433419,0.1087868350964277,0.0428725457903912
gene-PA0533,gene-PA0533,host,1,0.3082007271442131,0.0507724476957308,0.0284088147514316
gene-PA3999,dacC,host,0.9602822480347702,1,0.1439847054537544,0.0709426219762102
gene-PA1033,gene-PA1033,host,1,0.5041347712576503,0.1271536316083694,0.0681777258684317
gene-PA3427,gene-PA3427,host,1,0.4598421480576621,0.0804821966060415,0.0354309612402509
gene-PA2207,gene-PA2207,host,1,0.9549640806308286,0.1493489447897113,0.1346229859084078
gene-PA2349,gene-PA2349,host,1,0.7161156155052472,0.2683972567475003,0.1247792272738705
gene-PA3379,gene-PA3379,host,1,0.8725409901439383,0.4053061403274311,0.1753139000353349
gene-PA3929,cioB,host,0.8992569939757872,1,0.2367386437237803,0.2709835613455184
gene-PA0815,gene-PA0815,host,1,0.4022819110850502,0.1309590547506608,0.0349367729921087
