gene,classification
gene-JD032_9,middle
gene-JD032_54,late
gene-JD032_25,late
gene-JD032_16,middle
gene-JD032_29,late
gene-JD032_24,late
gene-JD032_36,late
gene-JD032_1,late
gene-JD032_41,late
gene-JD032_30,late
gene-JD032_26,late
gene-JD032_17,late
gene-JD032_2,late
gene-JD032_51,late
gene-JD032_15,middle
gene-JD032_10,middle
gene-JD032_5,late
gene-JD032_19,late
gene-JD032_31,late
gene-JD032_37,late
gene-JD032_22,late
gene-JD032_33,late
gene-JD032_52,late
gene-JD032_49,late
gene-JD032_44,late
gene-JD032_14,middle
gene-JD032_20,late
gene-JD032_40,late
gene-JD032_42,late
gene-JD032_18,late
gene-JD032_13,middle
gene-JD032_43,late
gene-JD032_6,middle
gene-JD032_34,late
gene-JD032_7,middle
gene-JD032_48,late
gene-JD032_12,middle
gene-JD032_11,middle
gene-JD032_53,late
gene-JD032_35,late
gene-JD032_45,late
gene-JD032_4,late
gene-JD032_21,late
gene-JD032_38,late
gene-JD032_8,middle
gene-JD032_23,late
gene-JD032_28,late
gene-JD032_46,late
gene-JD032_39,late
gene-JD032_47,late
gene-JD032_27,late
gene-JD032_50,late
gene-JD032_32,late
gene-JD032_3,late
