gene,classification
gene-T7p36,late
gene-T7p01,middle
gene-T7p19,late
gene-T7p56,late
gene-T7p58,late
gene-T7p37,late
gene-T7p44,late
gene-T7p25,late
gene-T7p13,late
gene-T7p23,late
gene-T7p18,late
gene-T7p55,late
gene-T7p28,late
gene-T7p51,late
gene-T7p03,middle
gene-T7p35,late
gene-T7p07,middle
gene-T7p16,late
gene-T7p14,late
gene-T7p43,late
gene-T7p02,middle
gene-T7p11,late
gene-T7p05,middle
gene-T7p50,late
gene-T7p48,late
gene-T7p24,late
gene-T7p10,late
gene-T7p34,late
gene-T7p40,late
gene-T7p17,late
gene-T7p39,late
gene-T7p52,late
gene-T7p09,late
gene-T7p32,late
gene-T7p53,late
gene-T7p45,late
gene-T7p29,late
gene-T7p26,late
gene-T7p15,late
gene-T7p42,late
gene-T7p59,late
gene-T7p06,middle
gene-T7p49,late
gene-T7p47,late
gene-T7p54,late
gene-T7p27,late
gene-T7p12,late
gene-T7p04,middle
gene-T7p33,late
gene-T7p22,late
gene-T7p20,late
gene-T7p41,late
gene-T7p31,late
gene-T7p38,late
gene-T7p46,late
gene-T7p21,late
gene-T7p30,late
gene-T7p08,late
gene-T7p57,late
gene-T7p60,late
