gene,classification
gene-M172_gp35,late
gene-M172_gp24,middle
gene-M172_gp16,middle
gene-M172_gp37,late
gene-M172_gp34,late
gene-M172_gp48,late
gene-M172_gp39,late
gene-M172_gp46,late
gene-M172_gp13,middle
gene-M172_gp27,late
gene-M172_gp23,middle
gene-M172_gp22,middle
gene-M172_gp26,middle
gene-M172_gp06,early
gene-M172_gp15,middle
gene-M172_gp33,late
gene-M172_gp54,late
gene-M172_gp01,early
gene-M172_gp19,middle
gene-M172_gp28,late
gene-M172_gp47,late
gene-M172_gp31,late
gene-M172_gp11,middle
gene-M172_gp45,late
gene-M172_gp09,early
gene-M172_gp20,middle
gene-M172_gp41,late
gene-M172_gp29,late
gene-M172_gp12,middle
gene-M172_gp36,late
gene-M172_gp10,middle
gene-M172_gp42,late
gene-M172_gp53,late
gene-M172_gp38,late
gene-M172_gp14,middle
gene-M172_gp43,late
gene-M172_gp50,late
gene-M172_gp17,middle
gene-M172_gp30,late
gene-M172_gp44,late
gene-M172_gp40,late
gene-M172_gp07,early
gene-M172_gp32,late
gene-M172_gp04,early
gene-M172_gp21,middle
gene-M172_gp03,early
gene-M172_gp49,late
gene-M172_gp52,late
gene-M172_gp25,middle
gene-M172_gp05,early
gene-M172_gp02,early
gene-M172_gp51,late
gene-M172_gp18,middle
gene-M172_gp08,early
