gene,classification
46.1,middle
frd.3,early
motA,early
uvsX,middle
modB,early
30.9,late
49,late
vs.3,late
47.1,middle
3,late
35,late
mrh,middle
51,late
30.3,middle
pseT.1,middle
ndd.2,early
49.2,middle
stp,middle
24,late
modA.2,middle
mrh.1,middle
rIIA.1,middle
gene-T4p228_gene_rnlA,late
49.1,middle
61.4,early
nrdC.7,early
asiA.1,middle
goF,middle
dda,middle
denA,late
30.4,early
17,late
47,middle
nrdH,late
dexA.2,middle
26,late
21,late
2,late
46,late
gene-T4p164_gene_17,late
segD,middle
gene-T4t003,late
srh,middle
gene-T4t005,late
uvsW,late
7,late
frd.1,early
segE,late
31.2,middle
30.8,early
imm,early
rnh,middle
48,late
arn.1,early
regB,middle
mobC,late
ndd.5,early
dmd,early
vs.7,late
39.1,middle
gene-T4s001,late
13,late
57B,late
ndd,middle
vs.4,late
67,late
gene-T4t004,late
mobD.2,early
gene-T4p173_gene_21,late
segF,late
motA.1,middle
22,late
ndd.3,early
asiA,early
68,late
gene-T4p032_gene_dam,middle
mobD.4,early
a-gt,late
ipIII,late
gene-T4p076_gene_nrdD,late
nrdC.5,middle
nrdC.6,early
38,late
tk.4,middle
vs,middle
30,middle
5.1,late
55.3,early
mobD.3,early
trna.4,early
alt.-2,late
43,late
4,late
60.1,middle
I-TevIII,late
36,late
segA,middle
cd.5,middle
mobB,middle
srd,early
modA,early
arn.3,early
gene-T4p166_gene_17,late
gene-T4p011_gene_motB,middle
5.4,late
wac,late
rI.-1,late
5.3,late
cef,early
cd.2,middle
mobD.2a,early
6,late
41,middle
40,middle
pseT.3,middle
52,middle
segB,late
19,late
39.2,middle
SegG,late
pseT,middle
alt,late
16,late
33,middle
26',late
ndd.4,early
gene-T4p005_gene_mobA,middle
tk.2,middle
regA,late
5,late
vs.1,middle
31,late
alc,middle
vs.8,late
mobD.1,early
a-gt.3,late
30.5,early
gene-T4t006,late
e.2,early
gene-T4t007,late
b-gt,middle
cd,middle
e.7,early
hoc,late
uvsY,late
inh,late
alt.-3,early
I-TevI,late
45.2,middle
30.7,early
25,late
nrdC.8,early
mrh.2,middle
54,late
14,late
59,middle
37,late
gene-T4p178_gene_rnlB,middle
nrdB.1,late
30.3',middle
ndd.1,early
49.3,middle
rI,late
ipI,late
modA.4,middle
I-TevII,late
repEB,late
45,middle
cd.1,middle
11,late
rIIB,middle
frd.2,early
60,middle
tk.3,middle
tk,middle
10,late
55.4,early
pseT.2,middle
56,middle
nudE,middle
61,middle
e.5,early
nrdC.10,early
gene-T4t001,late
23,late
55.8,middle
denB,late
e.4,early
mobE,late
denB.1,middle
e.6,early
mobD.5,early
cd.3,middle
34,late
24.2,middle
12,late
nrdC.11,middle
mobD,early
rIII,late
uvsY.-1,late
27,late
32,late
nrdC.4,middle
30.1,middle
dexA,middle
57A,late
modA.3,middle
denV,late
ndd.6,early
alt.1,middle
55.1,early
segC,late
gene-T4p074_gene_nrdG,late
nrdC.3,middle
tk.1,middle
gene-T4p165_gene_17,late
gene-T4s002,late
39,middle
vs.6,middle
55.2,early
a-gt.4,late
gene-T4t002,late
nrdA.1,middle
frd,early
30.6,early
gene-T4p230_gene_nrdB,late
gene-T4p247_gene_dsbA,middle
trna.3,early
dexA.1,middle
motB.2,early
a-gt.5,late
44,middle
20,late
53,late
e,late
nrdC.2,middle
28,late
gene-T4t008,late
trna.2,early
ndd.2a,early
soc,late
18,late
55.6,early
1,late
sp,early
nrdC,middle
t,middle
52.1,early
ipII,late
nrdC.9,early
dda.1,middle
alt.-1,late
46.2,middle
pin,middle
8,late
gene-T4p234_gene_nrdA,late
nrdC.1,middle
15,late
e.3,early
vs.5,late
arn,middle
arn.4,early
repEA,late
imm.1,early
rpbA,middle
gene-T4p078_gene_49,late
td,middle
55.5,early
e.8,early
a-gt.2,late
nrdA.2,middle
motB.1,middle
arn.2,early
ac,middle
9,late
61.1,middle
29,late
30.2,middle
31.1,late
42,middle
uvsY.-2,late
55,late
24.3,middle
rI.1,late
rIIA,middle
cd.4,middle
62,middle
61.2,early
