gene,classification
gp40,late
gp27,late
gp10,middle
gp6,middle
gp11,middle
gp35,late
gp43,late
gp16,middle
gp29,late
gp36,late
gp41,late
gp22,late
gp38,late
gp12.1,middle
gp13,middle
gp2,early
gp14,middle
gp4,middle
gene-PPLUZ19_PPLUZ19_gp20,middle
gp45,late
gp34,late
gp30,late
gp25,late
gp26,late
gp19,late
gp47,late
gp9,middle
gp13.1,middle
gp48,late
gp46,late
gp15,middle
gp20,late
gp12,middle
gp1,early
gp18,middle
gp31,late
gp32,late
gp39,late
gp24,late
gp5,middle
gp37,late
gp23,late
gp44,late
gp33,late
gp25.1,late
gp42,late
gp21,late
gp8,middle
gp28,late
gp0.1,middle
gp46.1,late
gp49,late
gp7,middle
gp3,early
