gene,classification
g241,late
g132,late
g310,late
g130,late
g021,late
g261,late
g158,late
g042,late
g181,late
g302,late
g040,late
g080,late
g164,late
g359,middle
g157,late
g114,late
g115,late
g342,middle
g024,late
g045,late
g148,late
g137,late
g366,late
g064,late
tRNA-Asn (GUU),late
g364,late
g014,late
g306,late
g315,late
g120,middle
g204,late
g272,late
g305,late
g243,late
g095,late
g127,late
g336,late
g182,late
g155,late
g068,late
g124,middle
g235,late
g003,late
g058,late
g206,late
g090,late
g321,late
g252,middle
g056,late
g131,late
g291,late
g008,late
g103,late
g092,late
g098,late
g002,late
g017,late
g351,late
g207,late
g084,late
g202,late
g145,late
g200,late
g273,late
g218,middle
g242,late
g069,late
g009,late
g044,late
g076,late
g231,late
g162,late
g195,late
g278,late
g026,late
g312,late
g237,late
g296,late
g143,late
g035,late
g355,late
g340,middle
g358,middle
g186,late
g349,late
g293,late
g294,late
g075,late
g138,middle
g129,late
g327,late
g093,late
g022,late
g149,late
g097,late
g060,late
g286,late
g176,late
g187,late
g087,late
g156,late
g089,late
g123,middle
g136,late
g111,late
g152,late
g301,late
g019,late
g300,late
g343,middle
g125,late
g354,middle
g104,late
g328,late
g245,late
g057,middle
g297,late
g271,late
g082,late
g270,late
g317,middle
g102,late
g049,late
g107,late
g316,late
g073,late
g007,late
g011,late
g153,late
g267,late
g032,late
g325,late
g178,late
g290,late
g036,late
g117,late
g018,late
g012,late
g203,late
g326,late
g037,middle
g330,late
g211,late
g360,late
g256,middle
g005,late
g067,late
g226,late
g072,late
g194,late
g250,late
g015,late
g154,late
g083,late
g023,late
g172,late
g230,late
g169,late
g304,late
g121,late
g279,late
g041,late
g061,late
g311,late
g052,late
g214,late
g324,late
g197,late
g196,late
g344,middle
g266,late
g050,late
g347,middle
g066,late
g233,late
g188,late
g108,late
g323,late
g220,middle
g190,late
g219,middle
g112,late
g240,late
g259,late
g331,middle
g142,late
g006,late
g059,late
g221,middle
g109,late
g078,middle
g074,late
g085,late
g262,late
g205,late
g134,late
g144,late
g346,late
g128,late
g088,late
g285,late
g251,late
g298,late
g116,late
g249,late
g362,middle
g281,late
g224,late
g100,late
g356,late
g247,late
g345,late
g208,late
g334,late
g113,late
g236,late
g028,late
g077,late
g163,late
g160,late
g232,late
g033,late
g341,middle
g234,late
g135,late
g051,late
g191,late
g225,late
g179,late
g198,late
g201,late
g167,late
g210,late
g165,late
g171,late
g246,late
g048,late
g308,late
g065,late
g339,late
g101,late
g174,late
g275,late
g213,late
tRNA-Leu (UAA),late
g053,late
g309,late
g361,late
g161,late
tRNA-Arg (UCU),late
g348,late
g258,late
g010,late
g227,late
g257,late
g193,late
g337,late
g106,late
g043,late
g110,late
g070,late
g183,late
g338,late
g150,late
g303,late
g020,late
g166,late
g119,middle
g217,middle
g244,late
g253,middle
g222,middle
g199,late
g319,middle
g141,late
g350,late
g287,late
g126,late
g118,middle
tRNA-Leu (UAG),late
g185,late
g063,late
g184,late
g170,late
g177,late
g284,late
g047,late
g277,late
g079,late
g280,late
g229,late
g260,middle
g276,late
g282,late
g086,late
g269,late
g333,late
g094,late
g292,late
g139,middle
g180,late
g016,late
g122,late
g105,late
g363,middle
g288,late
g173,late
g268,late
g335,late
g140,late
g254,middle
g029,late
g001,late
g025,late
g212,middle
g283,late
g352,middle
g238,late
g367,late
g357,late
g215,late
g255,middle
g168,late
g320,middle
tRNA-Met (CAU),late
g263,late
g031,late
g099,late
g062,late
g175,late
g248,late
g071,late
g322,middle
g030,late
g013,middle
g034,late
g055,late
g239,late
g054,late
g147,late
g192,late
g295,late
g209,late
g274,late
g159,late
g091,late
g264,late
g046,late
g223,late
g096,late
g027,late
g216,middle
g038,middle
g313,late
g329,late
g081,late
g039,late
g133,late
g146,late
g365,late
g299,late
g189,late
g151,late
g307,late
g318,late
g265,late
g353,middle
g004,late
g289,late
g228,late
g314,late
g332,late
