gene,classification
gene-DMS3-27,middle
gene-DMS3-47,middle
gene-DMS3-36,middle
gene-DMS3-46,late
gene-DMS3-38,early
gene-DMS3-29,middle
gene-DMS3-13,late
gene-DMS3-35,late
gene-DMS3-48,middle
gene-DMS3-18,late
gene-DMS3-43,middle
V,late
gene-DMS3-11,late
gene-DMS3-5,middle
gene-DMS3-26,middle
gene-DMS3-19,late
gene-DMS3-7,middle
gene-DMS3-30,early
gene-DMS3-33,middle
gene-DMS3-20,early
gene-DMS3-17,middle
gene-DMS3-25,early
gene-DMS3-1,late
gene-DMS3-40,middle
gene-DMS3-12,late
gene-DMS3-22,early
gene-DMS3-16,late
gene-DMS3-24,late
gene-DMS3-10,middle
gene-DMS3-6,middle
gene-DMS3-8,middle
gene-DMS3-39,late
gene-DMS3-31,early
gene-DMS3-51,middle
gene-DMS3-37,early
gene-DMS3-2,middle
gene-DMS3-52,middle
gene-DMS3-41,middle
gene-DMS3-45,middle
gene-DMS3-4,middle
gene-DMS3-50,late
gene-DMS3-9,middle
gene-DMS3-3,middle
gene-DMS3-34,middle
gene-DMS3-32,middle
gene-DMS3-15,late
gene-DMS3-28,middle
gene-DMS3-23,middle
gene-DMS3-44,middle
gene-DMS3-14,late
gene-DMS3-49,early
gene-DMS3-42,late
