,protein_id,namespace,phage_id,description,isPhage,struc_cluster_id,struc_cluster_size
6092,AYD82627.1,biological_process,MH751506.1,DNA adenine methyltransferase,True,45,4
6090,NP_049647.1,biological_process,NC_000866.4,Dam family site-specific DNA-(adenine-N6)-methyltransferase,True,45,4
8814,QXV82123.1,molecular_function,MZ501089,Dam-like N6-adenine methyltransferase,True,45,4
6091,NP_417846.1,biological_process,NC_000913.3,DNA adenine methyltransferase,False,45,4
6148,AYD82627.1,biological_process,MH751506.1,DNA adenine methyltransferase,True,45,4
6093,QXV82123.1,biological_process,MZ501089,Dam-like N6-adenine methyltransferase,True,45,4
1636,AYD82627.1,biological_process,MH751506.1,DNA adenine methyltransferase,True,45,4
1627,NP_417846.1,biological_process,NC_000913.3,DNA adenine methyltransferase,False,45,4
8810,NP_049647.1,molecular_function,NC_000866.4,Dam family site-specific DNA-(adenine-N6)-methyltransferase,True,45,4
1638,QXV82123.1,biological_process,MZ501089,Dam-like N6-adenine methyltransferase,True,45,4
8812,NP_417846.1,molecular_function,NC_000913.3,DNA adenine methyltransferase,False,45,4
6147,NP_417846.1,biological_process,NC_000913.3,DNA adenine methyltransferase,False,45,4
8813,AYD82627.1,molecular_function,MH751506.1,DNA adenine methyltransferase,True,45,4
1605,NP_049647.1,biological_process,NC_000866.4,Dam family site-specific DNA-(adenine-N6)-methyltransferase,True,45,4
6145,NP_049647.1,biological_process,NC_000866.4,Dam family site-specific DNA-(adenine-N6)-methyltransferase,True,45,4
6149,QXV82123.1,biological_process,MZ501089,Dam-like N6-adenine methyltransferase,True,45,4
3559,NP_416065.1,molecular_function,NC_000913.3,putative prophage side tail fiber protein StfQ,False,96,2
3558,NP_040604.1,molecular_function,NC_001416,tail fiber protein,True,96,2
4689,YP_006536.1,biological_process,NC_005856.1,exonuclease recombination-associated,True,106,8
4694,QXV83968.1,biological_process,MZ501100,putative recombination protein,True,106,8
4695,QXV81574.1,biological_process,MZ501084,putative recombination protein,True,106,8
4690,XPK41815.1,biological_process,PQ850612,exonuclease recombination-associated protein,True,106,8
4691,QXV78363.1,biological_process,MZ501063,putative recombination protein,True,106,8
4692,XPK41311.1,biological_process,PQ850607,exonuclease recombination-associated protein,True,106,8
4693,NP_414927.1,biological_process,NC_000913.3,nucleoid-associated protein RdgC,False,106,8
724,NP_415324.1,molecular_function,NC_000913.3,zinc finger domain-containing protein YbiI,False,156,2
723,NP_046793.1,molecular_function,NC_001895.1,DksA-like zinc-finger protein,True,156,2
6089,QXV81722.1,biological_process,MZ501086,dihydrofolate reductase,True,244,2
6087,NP_414590.1,biological_process,NC_000913.3,dihydrofolate reductase,False,244,2
1426,QXV81722.1,biological_process,MZ501086,dihydrofolate reductase,True,244,2
1414,NP_414590.1,biological_process,NC_000913.3,dihydrofolate reductase,False,244,2
7725,NP_414590.1,molecular_function,NC_000913.3,dihydrofolate reductase,False,244,2
3242,NP_416953.1,molecular_function,NC_000913.3,phosphate acetyltransferase EutD,False,258,63
10324,YP_026185.1,biological_process,NC_000913.3,putative carbamoyltransferase YgeW,False,258,63
3629,NP_414594.1,molecular_function,NC_000913.3,4-hydroxythreonine-4-phosphate dehydrogenase,False,258,63
10323,NP_414807.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
6824,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
5976,NP_418076.1,biological_process,NC_000913.3,ADP-L-glycero-D-mannoheptose 6-epimerase,False,258,63
10322,NP_418666.1,biological_process,NC_000913.3,aspartate carbamoyltransferase catalytic subunit,False,258,63
2533,NP_415271.1,biological_process,NC_000913.3,quinolinate synthase,False,258,63
3394,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
10880,QXV84791.1,molecular_function,MZ501106,polynucleotide kinase,True,258,63
2849,NP_414715.1,biological_process,NC_000913.3,1-deoxy-D-xylulose 5-phosphate reductoisomerase,False,258,63
4651,NP_414632.1,molecular_function,NC_000913.3,N-acetylglucosaminyl transferase,False,258,63
2704,NP_415608.2,biological_process,NC_000913.3,putative phosphate acyltransferase,False,258,63
10490,NP_414594.1,biological_process,NC_000913.3,4-hydroxythreonine-4-phosphate dehydrogenase,False,258,63
2991,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
10672,NP_418090.1,molecular_function,NC_000913.3,KDO transferase,False,258,63
3888,QXV83948.1,biological_process,MZ501100,"putative dTDP-D-glucose 4,6-dehydratase",True,258,63
3887,YP_026255.1,biological_process,NC_000913.3,"dTDP-glucose 4,6-dehydratase 2",False,258,63
10866,QXV76898.1,molecular_function,MZ501056,polynucleotide kinase,True,258,63
10867,QXV75059.1,molecular_function,MZ501047,polynucleotide kinase,True,258,63
10868,QXV75331.1,molecular_function,MZ501046,polynucleotide kinase,True,258,63
10869,QXV75909.1,molecular_function,MZ501050,polynucleotide kinase,True,258,63
10870,AXN58254.1,molecular_function,MH550421.1,polynucleotide kinase,True,258,63
2080,NP_416953.1,molecular_function,NC_000913.3,phosphate acetyltransferase EutD,False,258,63
5890,NP_416314.1,molecular_function,NC_000913.3,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),False,258,63
10871,QXV83086.1,molecular_function,MZ501096,polynucleotide kinase,True,258,63
10872,QXV85892.1,molecular_function,MZ501113,polynucleotide kinase,True,258,63
10873,QXV83422.1,molecular_function,MZ501098,polynucleotide kinase,True,258,63
10874,QXV79044.1,molecular_function,MZ501067,polynucleotide kinase,True,258,63
10875,AYD82811.1,molecular_function,MH751506.1,polynucleotide kinase,True,258,63
10876,QXV76266.1,molecular_function,MZ501052,polynucleotide kinase,True,258,63
10877,QXV78765.1,molecular_function,MZ501066,polynucleotide kinase,True,258,63
10878,QXV78496.1,molecular_function,MZ501065,polynucleotide kinase,True,258,63
10879,NP_049834.1,molecular_function,NC_000866.4,polynucleotide kinase,True,258,63
10881,QXV82036.1,molecular_function,MZ501089,polynucleotide kinase,True,258,63
3885,QXV81554.1,biological_process,MZ501084,"putative dTDP-D-glucose 4,6-dehydratase",True,258,63
